
---------------------------------------------------------------[Token Information]---------------------------------------------------------------

Token Name: BlockGames (BLOCK)
Website: https://www.blockgames.com
Twitter: https://twitter.com/getblockgames
Whitepaper: https://block-games.gitbook.io/whitepaper

---------------------------------------------------------------[Token Price Data]---------------------------------------------------------------

+----------------------+---------------------+-------------------+
|        Price         |         Date        | Price Abnormality |
+----------------------+---------------------+-------------------+
| 0.11840476140561267  | 2024-05-03 23:00:00 |         []        |
| 0.124662020152566875 | 2024-05-02 23:00:00 |         []        |
| 0.11608611148351981  | 2024-05-01 23:00:00 |         []        |
| 0.11442014929757165  | 2024-04-30 23:00:00 |         []        |
| 0.12321906119988878  | 2024-04-29 23:00:00 |         []        |
| 0.11633784887048196  | 2024-04-28 23:00:00 |         []        |
|  0.1202771446333308  | 2024-04-27 23:00:00 |         []        |
| 0.10504870468873143  | 2024-04-26 23:00:00 |         []        |
| 0.12082920800694047  | 2024-04-25 23:00:00 |         []        |
| 0.13761994675287513  | 2024-04-24 23:00:00 |         []        |
| 0.140527533985161575 | 2024-04-23 23:00:00 |         []        |
| 0.16075304943941573  | 2024-04-22 23:00:00 |         []        |
| 0.14053056272665286  | 2024-04-21 23:00:00 |         []        |
| 0.14241948531397428  | 2024-04-20 23:00:00 |         []        |
| 0.15842227617076595  | 2024-04-19 23:00:00 |         []        |
|  0.1826758712252739  | 2024-04-18 23:00:00 |         []        |
| 0.162487499549832625 | 2024-04-17 23:00:00 |         []        |
| 0.15584950601431072  | 2024-04-16 23:00:00 |         []        |
| 0.18306671229325522  | 2024-04-15 23:00:00 |         []        |
| 0.17975314316837476  | 2024-04-14 23:00:00 |         []        |
|  0.1938799580300235  | 2024-04-13 23:00:00 |         []        |
|  0.228851764553097   | 2024-04-12 23:00:00 |         []        |
| 0.31844099538631043  | 2024-04-11 23:00:00 |         []        |
+----------------------+---------------------+-------------------+


---------------------------------------------------------------[Token Holder Data)]---------------------------------------------------------------

+------+--------------------------------------------+----------------------+------------------------+
| Rank |               Holder Address               |       Quantity       |       Proportion       |
|  91  | 0xebc22489af8db6514bffe2a999252a4d7d9fef03 |       30402.66       | 0.003040266000000000%  |
|  92  | 0x85a8cb1d82fd8bf0c4ab3af2a37efb20d5b093c5 |     30363.79772      | 0.003036379772000000%  |
|  93  | 0x1229d3f72e3cb63f13142bc8d995d3428d91cda4 |      30264.807       | 0.003026480700000000%  |
|  94  | 0xbc9b01af517dcf09d93840caf830014acad1d91d |        29512         | 0.002951200000000000%  |
|  95  | 0x9ca2cf1f061ccdcc62d992c10678f1ab2621f17f |      29280.399       | 0.002928039900000000%  |
|  96  | 0xbf987ec253e17017b4ca621196081d37dc685861 |      28988.8425      | 0.002898884250000000%  |
|  97  | 0x0c943ae50d387acdbc1d67cbb548be04e9fa930d |       28724.46       | 0.002872446000000000%  |
|  98  | 0x0495e70587f923110a0cbd4379f8b18b01d1f46c |     27626.792671     | 0.002762679267100000%  |
|  99  | 0xc2978441f46a76c60e0cd59e986498b75a40572d |  27084.716861146546  | 0.002708471686114655%  |
| 100  | 0xfbb8930ee89be4ab1cd9aa298c199b6ce1cf5427 |      26665.6812      | 0.002666568120000000%  |
| 101  | 0x33430fe17d4d08b95a9ff9e9f7918cb04fb06298 |        25000         | 0.002500000000000000%  |
| 102  | 0x33f4bebbc43bc5725f4ed64629e7022a46ed9146 |        25000         | 0.002500000000000000%  |
| 103  | 0xf0f8bc05778855bd7972ee461c3473ce73206bb7 |        25000         | 0.002500000000000000%  |
| 104  | 0x3ea5ab4a1afd8911760b84a79f4021915e6a8a8f |        25000         | 0.002500000000000000%  |
| 105  | 0xd296db2f97730fadd508c95e1f33e54cbe50c26f |        25000         | 0.002500000000000000%  |
| 106  | 0x482256b7dbce555b49a59994a151d0e2c2e94de2 |        25000         | 0.002500000000000000%  |
| 107  | 0x9b81bb65b792f59a0cdddb5adcd5003d6e251b2f |        25000         | 0.002500000000000000%  |
| 108  | 0xe66ff7f22733d44d3003a3d7a02116540588cd2d |        25000         | 0.002500000000000000%  |
| 109  | 0xc8424eeaaffa8cbdb603695e610c7095993c7e3d |      24835.839       | 0.002483583900000000%  |
| 110  | 0xa1995551648b3cbfbb1b9d983cd001021f6efe91 |      23971.712       | 0.002397171200000000%  |
| 111  | 0x8d1001937a116e5a8d82a2e6c589e2873306dcdd |      23931.564       | 0.002393156400000000%  |
| 112  | 0x38e4f745d85077976aab2b7d0c3da101024165b8 |      23919.148       | 0.002391914800000000%  |
| 113  | 0xd90dbe9117676b29c2e06fffc339b24a71051ed0 |      23105.893       | 0.002310589300000000%  |
| 114  | 0x70285c37142868190d89d2c7a4e992e87f0483ec |  22986.634824472272  | 0.002298663482447227%  |
| 115  | 0xc11c6cb3946ac14eafdf522b91091d10c0889f0a |  22704.793005007858  | 0.002270479300500786%  |
| 116  | 0x88001162ccd6022089ad847cda6be5487ee985f6 |      22688.631       | 0.002268863100000000%  |
| 117  | 0x00faefe7861af548d648ae5730724102d7a54738 |        22180         | 0.002218000000000000%  |
| 118  | 0xf0bbdc9853cd791d90503002074b37121351786a |     21592.00236      | 0.002159200236000000%  |
| 119  | 0xa8063c648ad4269127ecb3c0cfdaa5c7cfbcd0ec |      21545.537       | 0.002154553700000000%  |
| 120  | 0x865e86f4ad3c8362748987999513f803bde68ad7 |  20914.632210312117  | 0.002091463221031212%  |
| 121  | 0xb75b6c977f613dae6ce6df1ff15d6b60f5a17611 |     20213.76499      | 0.002021376499000000%  |
| 122  | 0x25fa06431225d7acb36d59de8b7cf57b609a9edf |       19778.6        | 0.001977860000000000%  |
| 123  | 0x4e9c0213fe19c2e40a7f2d895c452399b90ec25d |  19762.40117854787   | 0.001976240117854787%  |
| 124  | 0xdb03237a342f39ed1765d36e5eeb1ffa431bc760 |      19722.168       | 0.001972216800000000%  |
| 125  | 0xd8384e883944ec8070adfc6e5a09b47183fa752d |        19630         | 0.001963000000000000%  |
| 126  | 0xdeecd3670e7ae64218e680d5c73c9217f9dbf31c |      19371.336       | 0.001937133600000000%  |
| 127  | 0xad7564ade0228583227e7f082ab8bd0ef0872b64 |      19250.524       | 0.001925052400000000%  |
| 128  | 0x2b50863d97008931e3368ac2c28ba813657407d0 |     19203.52924      | 0.001920352924000000%  |
| 129  | 0x8bf3e1c18a7df98ba01b9d2145d926e02f42b408 |      19133.094       | 0.001913309400000000%  |
| 130  | 0x10bf3df3c6dab3237dff5284fa75fd11ce7ee4af |      18758.423       | 0.001875842300000000%  |
| 131  | 0xe1b399328526b5b0700fc8135614a8b0136108f8 |        18750         | 0.001875000000000000%  |
| 132  | 0xadb2fc8dc15890f2316faa190e33c2bcb5fac922 |        18750         | 0.001875000000000000%  |
| 133  | 0x41cb387d8de6c2f0e6454ae17081e6367aa6f437 |        18750         | 0.001875000000000000%  |
| 134  | 0x243bed598bfb9289924e73ce447d2943e12ebb2e |  18504.828253421554  | 0.001850482825342155%  |
| 135  | 0x2a2fb0fb0733523181ddbc4a870745b5b0026019 |       18300.88       | 0.001830088000000000%  |
| 136  | 0x408dbb178700625fc023ab7e054c9e820fb9ee42 |      17850.8225      | 0.001785082250000000%  |
| 137  | 0xb18c171a9173b46a0c72a91d7c7fc96f2aea4cf1 |      17755.195       | 0.001775519500000000%  |
| 138  | 0x64f7a1c8abb02a2e05b54555aef0539cfc77cc63 |        17618         | 0.001761800000000000%  |
| 139  | 0x406cbfc2d391bed42078138165465128b4e0cb06 |  17603.03504204148   | 0.001760303504204148%  |
| 140  | 0xb0193b42b4a7558bb910b7cab699d55c64d1438a |  17536.137517683685  | 0.001753613751768368%  |
| 141  | 0xeca2f14cee144107e921a871ee3d5ba523d70147 |        17500         | 0.001750000000000000%  |
| 142  | 0x1018a89fc5b52e9f8619860064d716d3341e40eb |        17500         | 0.001750000000000000%  |
| 143  | 0x333345727be2ec482baf99a25cb1765cb7b78de6 |        17500         | 0.001750000000000000%  |
| 144  | 0xf2a7be2d334db950b8e490def5412827eac8494c |       17122.1        | 0.001712210000000000%  |
| 145  | 0xf18b0a955522935f55e6fac504ad28e9bc8a2b3f |       17122.1        | 0.001712210000000000%  |
| 146  | 0x679bbbf19104542eaf19f2acd418f4cb3f54c7b6 |     16944.37265      | 0.001694437265000000%  |
| 147  | 0x6afaf33e91f195b668baedf5e9ad8162a78b39e7 |  16892.91431771505   | 0.001689291431771505%  |
| 148  | 0x2e442362f6e5311b425556e5c421fa6f95ff852c |        16750         | 0.001675000000000000%  |
| 149  | 0xed3f48fa2aebfe3250b6233e703458b084172711 |       16666.7        | 0.001666670000000000%  |
| 150  | 0xf010006b747b23e9ed88002932e0df8b2b1af37a |        16660         | 0.001666000000000000%  |
| 151  | 0x4ba6482cb72e63c2409fa40fc84b18599e4fd2ab |      16560.376       | 0.001656037600000000%  |
| 152  | 0x9c3adcd182a797062d411c535e40d1f19908d1b3 |        16250         | 0.001625000000000000%  |
| 153  | 0x4a8f0708efed7976bc6aaf76886c7368ad3585a3 |       16039.8        | 0.001603980000000000%  |
| 154  | 0xde054f5b456de4e1c7795d58bc7d4e069052f9fa |        15750         | 0.001575000000000000%  |
| 155  | 0x8fc17671d853341d9e8b001f5fc3c892d09cb53a |      15722.089       | 0.001572208900000000%  |
| 156  | 0x70c51a6146ac46feaba878c75f8973bc7c4802fe |  15614.771999999999  | 0.001561477200000000%  |
| 157  | 0x997b610aa8e40522a8baea44e9c5870518297930 |  15543.794033488733  | 0.001554379403348873%  |
| 158  | 0x4f246272cf7f66005c965f8a36e132c2a1ed34fd |      15428.061       | 0.001542806100000000%  |
| 159  | 0x1c3354d276b49fe8941a09b822a9100d50e88727 |        15423         | 0.001542300000000000%  |
| 160  | 0x5ac682155ef5b15294074eccfab1632d0f8634e8 |      15249.967       | 0.001524996700000000%  |
| 161  | 0xbeeb5cbecd0f55c6ce1830e1895f9dc9a13ca675 |        15130         | 0.001513000000000000%  |
| 162  | 0x10ec49d7768a4e2daf2676f0ffff3a1fcb5a6740 |        15000         | 0.001500000000000000%  |
| 163  | 0x2575e2d8ee3f9c814e4a7311248ce868fe6d61c3 |        15000         | 0.001500000000000000%  |
| 164  | 0x0cb16cc697363c376d06b5114f67d93611237fe5 |       14935.88       | 0.001493588000000000%  |
| 165  | 0x4d08a1ec94ca749be19a9209541ad4590375421d |      14880.993       | 0.001488099300000000%  |
| 166  | 0xc8c179395f15375cc643afb6224ef3e4b4c666d2 |      14375.949       | 0.001437594900000000%  |
| 167  | 0xeab3cad4b80b8460d1b6d1d82d7c1809b03d1b7c |      14214.618       | 0.001421461800000000%  |
| 168  | 0x8ce6bf624ac541f67c243a4b4fac3c89f33160e3 |      14187.564       | 0.001418756400000000%  |
| 169  | 0xae756f18042120f30b02d79e63d74ab7e069f1af |       14152.5        | 0.001415250000000000%  |
| 170  | 0x0c66d950a9cc6534c544ac68c01f14e796f72f27 |     14028.17497      | 0.001402817497000000%  |
| 171  | 0x244531c571966f90f4849e03a507543d90f9c721 |  13938.352234113296  | 0.001393835223411330%  |
| 172  | 0x04bda42de3bc32abb00df46004204424d4cf8287 |  13920.00276340925   | 0.001392000276340925%  |
| 173  | 0xb52aaa5f0d884d5433136c2cfd59a05ced4a648a |       13775.47       | 0.001377547000000000%  |
| 174  | 0xa518e08e01d6e9a682264435eeb7342b6e400758 |       13678.94       | 0.001367894000000000%  |
| 175  | 0xc50aa054b537d2a4bbe3f586f7e87eed04a81a55 |       13502.35       | 0.001350235000000000%  |
| 176  | 0x38c9d770c919574ddeac6b313eb2b1577e5c6667 |  13373.497925173117  | 0.001337349792517312%  |
| 177  | 0xace3a423d2bae57364ca33b7124cd9d83feb0b3f |      13063.745       | 0.001306374500000000%  |
| 178  | 0xc1da15d97cf0851514fd26e5dc939604c6df98b5 |        12500         | 0.001250000000000000%  |
| 179  | 0x0c034cf2050a18e6004eb16f106d19116091417a |        12500         | 0.001250000000000000%  |
| 180  | 0xd8d4680b341e27aaecdac196096d7aa4e805cfa1 |        12500         | 0.001250000000000000%  |
| 181  | 0x661c4220751bbca6bd19cb0f902f60e476b7cc8d |        12500         | 0.001250000000000000%  |
| 182  | 0x6175e7a985caeac2db12fada99e626ebd6fe7bcc |        12500         | 0.001250000000000000%  |
| 183  | 0xa03f26ab02fe7a8472dbac7821fd4a6c1a91a7d6 |        12500         | 0.001250000000000000%  |
| 184  | 0x61d0ea212b35721e021f56094603165a92410c19 |        12500         | 0.001250000000000000%  |
| 185  | 0x03c370da95bb6dc93d0810a40e56d7cd3075dac2 |        12500         | 0.001250000000000000%  |
| 186  | 0xb15ebf21a217af1385df577932a14b09bdf8c434 |        12500         | 0.001250000000000000%  |
| 187  | 0x64830f69c98097fdda37498061658009f89908ee |        12500         | 0.001250000000000000%  |
| 188  | 0x20df9e418f682db980cbb000e95db45dcd4c3900 |        12500         | 0.001250000000000000%  |
| 189  | 0x6e6c3af6f1be9330e3aaec5bff00406069c94ec7 |        12500         | 0.001250000000000000%  |
| 190  | 0x83bfe1c10c97221663c8351a26cf56017b426f4a |        12500         | 0.001250000000000000%  |
| 191  | 0xd8b9b91f9dfc1d31e27f58f72d41e1c58157a925 |        12500         | 0.001250000000000000%  |
| 192  | 0xa91deb5104e58387becbfc9c14eb6c7d9c157e89 |        12394         | 0.001239400000000000%  |
| 193  | 0x63ad2a7e65f175b01bc0b9f8ab4c071961366edc |      12327.545       | 0.001232754500000000%  |
| 194  | 0x1fb741e055f49f38f8032b1cc2be3646b68ce891 |      12307.779       | 0.001230777900000000%  |
| 195  | 0xbab69911a7238b03f4216d897bdc0685f1419c60 |       12109.35       | 0.001210935000000000%  |
| 196  | 0xf6784dbcd92b2ec36b496a303de36ed427ce6cdb |      12109.168       | 0.001210916800000000%  |
| 197  | 0xc00f076b06527faeac7c32b51052ab522a7d1244 |      11708.423       | 0.001170842300000000%  |
| 198  | 0x0b13cd696b845541da3f736547c907fcd113f00a |       11689.73       | 0.001168973000000000%  |
| 199  | 0x6a688d14438a18dd2bcfba64a05c2f4fa25f2733 |       11488.47       | 0.001148847000000000%  |
| 200  | 0x8ce4f257fec7067338b6e51d67c0445f67a33b2c |        11460         | 0.001146000000000000%  |
| 201  | 0xb12e098d0f44e45822ce3baa39ec0b306f274b2a |  11407.758719243036  | 0.001140775871924304%  |
| 202  | 0x62f456933507fe002559202e1419e10c8390f894 |  11257.589439673013  | 0.001125758943967301%  |
| 203  | 0x350b824eb3fca6a76570221bc8337b01e3e9d795 |        11250         | 0.001125000000000000%  |
| 204  | 0x500d6bba2c2c572247930a557daca55d69761c6d |     11105.08177      | 0.001110508177000000%  |
| 205  | 0x55f9ac1db3febe4da632758bd7b1ec4055452e0e |      11094.336       | 0.001109433600000000%  |
| 206  | 0x31baff14eb8d7dda9e1fcae6033c8a046dbdddf6 |      11094.336       | 0.001109433600000000%  |
| 207  | 0x445a6704ff1945bcfdfd965dbf573240bf781782 |  11024.396798077276  | 0.001102439679807728%  |
| 208  | 0xc7fc847aa67c580442c460f0f6ef2ebb970f793a |  11007.88058942099   | 0.001100788058942099%  |
| 209  | 0x921126070dfe71dac634a84195022fb2670c0f7e |       10995.47       | 0.001099547000000000%  |
| 210  | 0x0b4431a2e13d50ea735fa47f8ea7c2363d3c305b |  10847.80967685133   | 0.001084780967685133%  |
| 211  | 0xca57c4ceb65183e4a97447daa4e5fba2b00dcda5 |        10608         | 0.001060800000000000%  |
| 212  | 0xbb9f1928b33bfddad87e9fbdcfb08b0871db936a |      10488.074       | 0.001048807400000000%  |
| 213  | 0x36df7240536c638ef44e1002d70af2f188921121 |      10332.075       | 0.001033207500000000%  |
| 214  | 0xb0799d85fafc89c81c6c84f1c049769166d60627 |  10278.349684210527  | 0.001027834968421053%  |
